mouse_symbol	human_symbol
Get3	GET3
Get4	GET4
Gfap	GFAP
Gfer	GFER
Gfi1	GFI1
Gfi1b	GFI1B
Gfm1	GFM1
Gfm2	GFM2
Gfod1	GFOD1
Gfod2	GFOD2
Gfpt1	GFPT1
Gfpt2	GFPT2
Gfra1	GFRA1
Gfra2	GFRA2
Gfra3	GFRA3
Gfra4	GFRA4
Gfral	GFRAL
Gfus	GFUS
Gfy	GFY
Gga1	GGA1
Gga2	GGA2
Gga3	GGA3
Ggact	GGACT
Ggct	GGCT
Ggcx	GGCX
Ggh	GGH
Ggn	GGN
Ggnbp1	GGNBP1
Ggnbp2	GGNBP2
Ggps1	GGPS1
Ggt1	GGT1
Ggt1	GGT2P
Ggt1	GGT3P
Ggt1	GGTLC1
Ggt1	GGTLC2
Ggt1	GGTLC3
Ggt5	GGT5
Ggt6	GGT6
Ggt7	GGT7
Ggta1	GGTA1
Gh	CSH1
Gh	CSH2
Gh	CSHL1
Gh	GH1
Gh	GH2
Ghdc	GHDC
Ghitm	GHITM
Ghr	GHR
Ghrh	GHRH
Ghrhr	GHRHR
Ghrl	GHRL
Ghsr	GHSR
Gid4	GID4
Gid8	GID8
Gigyf1	GIGYF1
Gigyf2	GIGYF2
Gimap1	GIMAP1
Gimap3	GIMAP5
Gimap4	GIMAP4
Gimap5	GIMAP5
Gimap6	GIMAP6
Gimap7	GIMAP7
Gimap8	GIMAP8
Gimd1	GIMD1
Gin1	GIN1
Ginm1	GINM1
Gins1	GINS1
Gins2	GINS2
Gins3	GINS3
Gins4	GINS4
Gip	GIP
Gipc1	GIPC1
Gipc2	GIPC2
Gipc3	GIPC3
Gipr	GIPR
Git1	GIT1
Git2	GIT2
Gja1	GJA1
Gja10	GJA10
Gja3	GJA3
Gja4	GJA4
Gja5	GJA5
Gja6	GJA6P
Gja8	GJA8
Gjb1	GJB1
Gjb2	GJB2
Gjb3	GJB3
Gjb4	GJB4
Gjb5	GJB5
Gjb6	GJB6
Gjc1	GJC1
Gjc2	GJC2
Gjc3	GJC3
Gjd2	GJD2
Gjd2os	GJD2-DT
Gjd3	GJD3
Gjd4	GJD4
Gje1	GJE1
Gk	GK
Gk	GK3
Gk2	GK2
Gk5	GK5
Gkap1	GKAP1
Gkn1	GKN1
Gkn2	GKN2
Gkn3	GKN3P
Gla	GLA
Glb1	GLB1
Glb1l	GLB1L
Glb1l2	GLB1L2
Glb1l3	GLB1L3
Glcci1	GLCCI1
Glce	GLCE
Gldc	GLDC
Gldn	GLDN
Gle1	GLE1
Glg1	GLG1
Gli1	GLI1
Gli2	GLI2
Gli3	GLI3
Glipr1	GLIPR1
Glipr1l1	GLIPR1L1
Glipr1l2	GLIPR1L2
Glipr1l3	GLIPR1L1
Glipr2	GLIPR2
Glis1	GLIS1
Glis2	GLIS2
Glis3	GLIS3
Glmn	GLMN
Glmp	GLMP
Glo1	GLO1
Glod4	GLOD4
Glod5	GLOD5
Glp1r	GLP1R
Glp2r	GLP2R
Glra1	GLRA1
Glra2	GLRA2
Glra3	GLRA3
Glra4	GLRA4
Glrb	GLRB
Glrx	GLRX
Glrx2	GLRX2
Glrx3	GLRX3
Glrx5	GLRX5
Gls	GLS
Gls2	GLS2
Glt1d1	GLT1D1
Glt6d1	GLT6D1
Glt8d1	GLT8D1
Glt8d2	GLT8D2
Gltp	GLTP
Gltpd2	GLTPD2
Glud1	GLUD1
Glud1	GLUD2
Glul	GLUL
Glyat	GLYAT
Glyatl3	GLYATL3
Glycam1	GLYCAM1
Glyctk	GLYCTK
Glyr1	GLYR1
Gm10058	SYCP3
Gm10096	SYCP3
Gm10147	SYCP3
Gm10230	SYCP3
Gm1043	C4orf50
Gm10486	SYCP3
Gm10487	SYCP3
Gm10488	SYCP3
Gm10778	ZNF880
Gm11100	C3orf49
Gm1140	FAM9A
Gm1140	FAM9C
Gm11437	C17orf78
Gm11837	C8orf88
Gm11992	C7orf57
Gm12695	C1orf87
Gm128	C1orf56
Gm13040	PRAMEF1
Gm13040	PRAMEF10
Gm13040	PRAMEF11
Gm13040	PRAMEF12
Gm13040	PRAMEF13
Gm13040	PRAMEF14
Gm13040	PRAMEF15
Gm13040	PRAMEF17
Gm13040	PRAMEF18
Gm13040	PRAMEF19
Gm13040	PRAMEF2
Gm13040	PRAMEF20
Gm13040	PRAMEF25
Gm13040	PRAMEF26
Gm13040	PRAMEF27
Gm13040	PRAMEF33
Gm13040	PRAMEF4
Gm13040	PRAMEF5
Gm13040	PRAMEF6
Gm13040	PRAMEF7
Gm13040	PRAMEF8
Gm13043	PRAMEF1
Gm13043	PRAMEF10
Gm13043	PRAMEF11
Gm13043	PRAMEF12
Gm13043	PRAMEF13
Gm13043	PRAMEF14
Gm13043	PRAMEF15
Gm13043	PRAMEF17
Gm13043	PRAMEF18
Gm13043	PRAMEF19
Gm13043	PRAMEF2
Gm13043	PRAMEF20
Gm13043	PRAMEF25
Gm13043	PRAMEF26
Gm13043	PRAMEF27
Gm13043	PRAMEF33
Gm13043	PRAMEF4
Gm13043	PRAMEF5
Gm13043	PRAMEF6
Gm13043	PRAMEF7
Gm13043	PRAMEF8
Gm136	C6orf163
Gm13889	C11orf96
Gm14137	C15orf62
Gm14308	ZNF136
Gm14308	ZNF333
Gm14322	ZNF670
Gm14325	ZNF136
Gm14325	ZNF333
Gm14391	ZNF136
Gm14391	ZNF333
Gm14399	ZNF880
Gm14401	ZKSCAN8P1
Gm14401	ZNF501
Gm14403	ZNF670
Gm14412	ZNF117
Gm14412	ZNF157
Gm14412	ZNF267
Gm14412	ZNF490
Gm14412	ZNF595
Gm14412	ZNF708
Gm14412	ZNF716
Gm14412	ZNF718
Gm14412	ZNF726
Gm14412	ZNF728
Gm14412	ZNF732
Gm14412	ZNF836
Gm14412	ZNF841
Gm14412	ZNF90
Gm14418	ZNF670
Gm14430	ZNF136
Gm14430	ZNF333
Gm14434	ZNF136
Gm14434	ZNF333
Gm14443	ZNF117
Gm14443	ZNF490
Gm14443	ZNF595
Gm14443	ZNF708
Gm14443	ZNF716
Gm14443	ZNF718
Gm14443	ZNF726
Gm14443	ZNF728
Gm14443	ZNF732
Gm14443	ZNF90
Gm14444	ZNF486
Gm14444	ZNF506
Gm14444	ZNF679
Gm14444	ZNF722
Gm14444	ZNF735
Gm14525	SYCP3
Gm14569	KIAA1210
Gm14632	SYCP3
Gm14692	FAM9A
Gm14692	FAM9C
Gm14819	SYCP3
Gm15433	GPR148
Gm15446	ZNF136
Gm17067	ZNF670
Gm17266	C18orf63
Gm17455	C10orf105
Gm1993	SYCP3
Gm19935	CHD9NB
Gm2012	SYCP3
Gm2026	ZNF136
Gm2026	ZNF333
Gm2030	SYCP3
Gm20736	SYCP3
Gm20792	SYCP3
Gm20817	SYCP3
Gm20820	SYCP3
Gm20824	SYCP3
Gm20838	SYCP3
Gm20843	SYCP3
Gm20888	SYCP3
Gm20890	SYCP3
Gm20911	SYCP3
Gm20937	SYCP3
Gm21094	SYCP3
Gm21095	SYCP3
Gm21117	SYCP3
Gm21173	SYCP3
Gm21209	SYCP3
Gm21256	SYCP3
Gm21258	SYCP3
Gm21294	SYCP3
Gm21488	SYCP3
Gm21497	SYCP3
Gm21518	SYCP3
Gm21739	SYCP3
Gm21760	SYCP3
Gm21858	SYCP3
Gm21861	SYCP3
Gm21865	SYCP3
Gm21996	SYCP3
Gm26871	MIR137HG
Gm28102	SYCP3
Gm28510	SYCP3
Gm28553	SYCP3
Gm28576	SYCP3
Gm28827	SYCP3
Gm28870	SYCP3
Gm28891	SYCP3
Gm28897	SYCP3
Gm28919	SYCP3
Gm28961	SYCP3
Gm28998	SYCP3
Gm29110	SYCP3
Gm29276	SYCP3
Gm29554	SYCP3
Gm29564	SYCP3
Gm29582	SYCP3
Gm29797	C20orf204
Gm29866	SYCP3
Gm2a	GM2A
Gm30191	C1orf232
Gm30737	SYCP3
Gm31571	SYCP3
Gm32687	ZNF117
Gm32687	ZNF221
Gm32687	ZNF284
Gm32687	ZNF490
Gm32687	ZNF595
Gm32687	ZNF708
Gm32687	ZNF716
Gm32687	ZNF718
Gm32687	ZNF726
Gm32687	ZNF728
Gm32687	ZNF732
Gm32687	ZNF90
Gm32929	LINC02915
Gm3336	CIST1
Gm34066	C2orf66
Gm3443	C9orf57
Gm35134	SYCP3
Gm35549	C3orf86P
Gm3604	ZNF28
Gm36210	C19orf85
Gm3764	MIR9-1HG
Gm3858	CXorf49
Gm3858	CXorf49B
Gm38999	C19orf84
Gm40193	C17orf114
Gm4131	C13orf42
Gm4275	ATE1OSP
Gm4297	SYCP3
Gm44504	UBL4A
Gm4553	KRTAP5-2
Gm4631	ZNF136
Gm4631	ZNF333
Gm4724	ZNF136
Gm4724	ZNF333
Gm4779	CXorf49
Gm4779	CXorf49B
Gm4836	SYCP3
Gm4884	C2orf78
Gm4952	GLYAT
Gm5114	C2orf78
Gm5141	ZNF320
Gm5141	ZNF415
Gm5141	ZNF528
Gm5141	ZNF534
Gm5141	ZNF616
Gm5150	SIRPB2
Gm5168	SYCP3
Gm5169	SYCP3
Gm525	C17orf67
Gm527	DORIP1
Gm52993	C19orf84
Gm5414	KRT6A
Gm5414	KRT6B
Gm5414	KRT6C
Gm5478	KRT6A
Gm5478	KRT6B
Gm5478	KRT6C
Gm5485	C3orf85
Gm5591	C2orf78
Gm5592	C2orf78
Gm5617	C11orf71
Gm57858	CCDC144A
Gm57858	CCDC144CP
Gm5849	S100A9
Gm5901	C11orf42
Gm5934	SYCP3
Gm5935	SYCP3
Gm6121	SYCP3
Gm6133	RPL17
Gm614	CXorf65
Gm6217	SCYGR1
Gm6217	SCYGR2
Gm6217	SCYGR3
Gm6217	SCYGR4
Gm6217	SCYGR6
Gm6217	SCYGR7
Gm6217	SCYGR8
Gm6217	SCYGR9
Gm6525	RPL36AL
Gm6569	C8orf90
Gm6710	ZNF136
Gm6710	ZNF333
Gm6871	ZNF136
Gm6993	SPTSSA
Gm7073	CXorf66
Gm7324	RBMX
Gm7582	GPR148
Gm7592	GPR148
Gm7609	GPR148
Gm7694	C1orf226
Gm773	SYCP3
Gm867	C22orf15
Gm94	C5orf46
Gm973	KIAA2012
Gmcl1	GMCL1
Gmcl1	GMCL2
Gmds	GMDS
Gmeb1	GMEB1
Gmeb2	GMEB2
Gmfb	GMFB
Gmfg	GMFG
Gmip	GMIP
Gml	GML
Gml2	GML
Gmnc	GMNC
Gmnn	GMNN
Gmppa	GMPPA
Gmppb	GMPPB
Gmpr	GMPR
Gmpr2	GMPR2
Gmps	GMPS
Gna11	GNA11
Gna12	GNA12
Gna13	GNA13
Gna14	GNA14
Gna15	GNA15
Gnai1	GNAI1
Gnai2	GNAI2
Gnai3	GNAI3
Gnal	GNAL
Gnao1	GNAO1
Gnaq	GNAQ
Gnas	GNAS
Gnasas1	GNAS-AS1
Gnat1	GNAT1
Gnat2	GNAT2
Gnat3	GNAT3
Gnaz	GNAZ
Gnb1	GNB1
Gnb1l	GNB1L
Gnb2	GNB2
Gnb3	GNB3
Gnb4	GNB4
Gnb5	GNB5
Gne	GNE
Gng10	GNG10
Gng11	GNG11
Gng12	GNG12
Gng13	GNG13
Gng14	GNG14
Gng2	GNG2
Gng3	GNG3
Gng4	GNG4
Gng5	GNG5
Gng5	GNG5B
Gng5c	GNG5B
Gng7	GNG7
Gng8	GNG8
Gngt1	GNGT1
Gngt2	GNGT2
Gnl1	GNL1
Gnl2	GNL2
Gnl3	GNL3
Gnl3l	GNL3L
Gnmt	GNMT
Gnpat	GNPAT
Gnpda1	GNPDA1
Gnpda2	GNPDA2
Gnpnat1	GNPNAT1
Gnptab	GNPTAB
Gnptg	GNPTG
Gnrh1	GNRH1
Gnrhr	GNRHR
Gns	GNS
Golga1	GOLGA1
Golga2	GOLGA2
Golga3	GOLGA3
Golga4	GOLGA4
Golga5	GOLGA5
Golga7	GOLGA7
Golga7b	GOLGA7B
Golgb1	GOLGB1
Golim4	GOLIM4
Golm1	GOLM1
Golm2	GOLM2
Golph3	GOLPH3
Golph3l	GOLPH3L
Golt1a	GOLT1A
Golt1b	GOLT1B
Gon4l	GON4L
Gon4l	YY1AP1
Gon7	GON7
Gopc	GOPC
Gorab	GORAB
Gorasp1	GORASP1
Gorasp2	GORASP2
Gosr1	GOSR1
Gosr2	GOSR2
Got1	GOT1
Got1l1	GOT1L1
Got2	GOT2
Gp1ba	GP1BA
Gp1bb	GP1BB
Gp2	GP2
Gp5	GP5
Gp6	GP6
Gp9	GP9
Gpa33	GPA33
Gpaa1	GPAA1
Gpalpp1	GPALPP1
Gpam	GPAM
Gpank1	GPANK1
Gpat2	GPAT2
Gpat3	GPAT3
Gpat4	GPAT4
Gpatch1	GPATCH1
Gpatch11	GPATCH11
Gpatch2	GPATCH2
Gpatch2l	GPATCH2L
Gpatch3	GPATCH3
Gpatch4	GPATCH4
Gpatch8	GPATCH8
Gpbar1	GPBAR1
Gpbp1	GPBP1
Gpbp1l1	GPBP1L1
Gpc1	GPC1
Gpc2	GPC2
Gpc3	GPC3
Gpc4	GPC4
Gpc5	GPC5
Gpc6	GPC6
Gpcpd1	GPCPD1
Gpd1	GPD1
Gpd1l	GPD1L
Gpd2	GPD2
Gper1	GPER1
Gpha2	GPHA2
Gphb5	GPHB5
Gphn	GPHN
Gphr	GPHRA
Gphr	GPHRB
Gpi1	GPI
Gpihbp1	GPIHBP1
Gpkow	GPKOW
Gpld1	GPLD1
Gpm6a	GPM6A
Gpm6b	GPM6B
Gpn1	GPN1
Gpn2	GPN2
Gpn3	GPN3
Gpnmb	GPNMB
Gpr101	GPR101
Gpr107	GPR107
Gpr108	GPR108
Gpr119	GPR119
Gpr12	GPR12
Gpr132	GPR132
Gpr135	GPR135
Gpr137	GPR137
Gpr137b	GPR137B
Gpr137c	GPR137C
Gpr139	GPR139
Gpr141	GPR141
Gpr141b	GPR141BP
Gpr142	GPR142
Gpr143	GPR143
Gpr146	GPR146
Gpr149	GPR149
Gpr15	GPR15
Gpr150	GPR150
Gpr151	GPR151
Gpr153	GPR153
Gpr155	GPR155
Gpr156	GPR156
Gpr157	GPR157
Gpr158	GPR158
Gpr15lg	GPR15LG
Gpr160	GPR160
Gpr161	GPR161
Gpr162	GPR162
Gpr165	GPR165P
Gpr17	GPR17
Gpr171	GPR171
Gpr173	GPR173
Gpr174	GPR174
Gpr176	GPR176
Gpr179	GPR179
Gpr18	GPR18
Gpr180	GPR180
Gpr182	ACKR5
Gpr183	GPR183
Gpr19	GPR19
Gpr20	GPR20
Gpr21	GPR21
Gpr22	GPR22
Gpr25	GPR25
Gpr26	GPR26
Gpr27	GPR27
Gpr3	GPR3
Gpr31b	GPR31
Gpr33	GPR33
Gpr34	GPR34
Gpr35	GPR35
Gpr37	GPR37
Gpr37l1	GPR37L1
Gpr39	GPR39
Gpr4	GPR4
Gpr45	GPR45
Gpr50	GPR50
Gpr52	GPR52
Gpr55	GPR55
Gpr6	GPR6
Gpr61	GPR61
Gpr62	GPR62
Gpr63	GPR63
Gpr65	GPR65
Gpr68	GPR68
Gpr75	GPR75
Gpr82	GPR82
Gpr83	GPR83
Gpr84	GPR84
Gpr85	GPR85
Gpr87	GPR87
Gpr88	GPR88
Gprasp1	GPRASP1
Gprasp2	ARMCX5-GPRASP2
Gprasp2	GPRASP2
Gprasp3	SLC35D4
Gprc5a	GPRC5A
Gprc5b	GPRC5B
Gprc5c	GPRC5C
Gprc5d	GPRC5D
Gprc6a	GPRC6A
Gprin1	GPRIN1
Gprin2	GPRIN2
Gprin3	GPRIN3
Gps1	GPS1
Gps2	GPS2
Gpsm1	GPSM1
Gpsm2	GPSM2
Gpsm3	GPSM3
Gpt	GPT
Gpt2	GPT2
Gpx1	GPX1
Gpx2	GPX2
Gpx3	GPX3
Gpx4	GPX4
Gpx5	GPX5
Gpx6	GPX6
Gpx7	GPX7
Gpx8	GPX8
Gramd1a	GRAMD1A
Gramd1b	GRAMD1B
Gramd1c	GRAMD1C
Gramd2a	GRAMD2A
Gramd2b	GRAMD2B
Gramd4	GRAMD4
Grap	GRAP
Grap	GRAPL
Grap2	GRAP2
Grb10	GRB10
Grb14	GRB14
Grb2	GRB2
Grb7	GRB7
Grcc10	C12orf57
Greb1	GREB1
Greb1l	GREB1L
Grem1	GREM1
Grem2	GREM2
Grep1	GREP1
Grhl1	GRHL1
Grhl2	GRHL2
Grhl3	GRHL3
Grhpr	GRHPR
Gria1	GRIA1
Gria2	GRIA2
Gria3	GRIA3
Gria4	GRIA4
Grid1	GRID1
Grid2	GRID2
Grid2ip	GRID2IP
Grifin	GRIFIN
Grik1	GRIK1
Grik2	GRIK2
Grik3	GRIK3
Grik4	GRIK4
Grik5	GRIK5
Grin1	GRIN1
Grin2a	GRIN2A
Grin2b	GRIN2B
Grin2c	GRIN2C
Grin2d	GRIN2D
Grin3a	GRIN3A
Grin3b	GRIN3B
Grina	GRINA
Grip1	GRIP1
Grip2	GRIP2
Gripap1	GRIPAP1
Grk1	GRK1
Grk2	GRK2
Grk3	GRK3
Grk4	GRK4
Grk5	GRK5
Grk6	GRK6
Grm1	GRM1
Grm2	GRM2
Grm3	GRM3
Grm4	GRM4
Grm5	GRM5
Grm6	GRM6
Grm7	GRM7
Grm8	GRM8
Grn	GRN
Grp	GRP
Grpel1	GRPEL1
Grpel2	GRPEL2
Grpr	GRPR
Grsf1	GRSF1
Grtp1	GRTP1
Grwd1	GRWD1
Grxcr1	GRXCR1
Grxcr2	GRXCR2
Gsap	GSAP
Gsc	GSC
Gsc2	GSC2
Gsdma	GSDMA
Gsdma2	GSDMA
Gsdma3	GSDMA
Gsdmc	GSDMC
Gsdmc2	GSDMC
Gsdmc3	GSDMC
Gsdmc4	GSDMC
Gsdmd	GSDMD
Gsdme	GSDME
Gse1	GSE1
Gsg1	GSG1
Gsg1l	GSG1L
Gsg1l2	GSG1L2
Gsk3a	GSK3A
Gsk3b	GSK3B
Gskip	GSKIP
Gsn	GSN
Gspt1	GSPT1
Gspt2	GSPT2
Gsr	GSR
Gss	GSS
Gsta1	GSTA1
Gsta1	GSTA2
Gsta1	GSTA3
Gsta1	GSTA5
Gsta13	GSTA1
Gsta13	GSTA2
Gsta13	GSTA3
Gsta13	GSTA5
Gsta2	GSTA1
Gsta2	GSTA2
Gsta2	GSTA3
Gsta2	GSTA5
Gsta3	GSTA1
Gsta3	GSTA2
Gsta3	GSTA3
Gsta3	GSTA5
Gsta5	GSTA1
Gsta5	GSTA2
Gsta5	GSTA3
Gsta5	GSTA5
Gstcd	GSTCD
Gstk1	GSTK1
Gstm1	GSTM1
Gstm1	GSTM5
Gstm2	GSTM1
Gstm2	GSTM5
Gstm3	GSTM1
Gstm3	GSTM5
Gstm4	GSTM4
Gstm5	GSTM3
Gstm6	GSTM1
Gstm6	GSTM5
Gstm7	GSTM2
Gsto1	GSTO1
Gsto2	GSTO2
Gstp1	GSTP1
Gstp2	GSTP1
Gstp3	GSTP1
Gstt1	GSTT1
Gstt2	GSTT2
Gstt2	GSTT2B
Gstt3	GSTT3P
Gstt4	GSTT4
Gstz1	GSTZ1
Gsx1	GSX1
Gsx2	GSX2
Gt(ROSA)26Sor	THUMPD3-AS1
Gtf2a1	GTF2A1
Gtf2a1l	GTF2A1L
Gtf2a2	GTF2A2
Gtf2b	GTF2B
Gtf2e1	GTF2E1
Gtf2e2	GTF2E2
Gtf2f1	GTF2F1
Gtf2f2	GTF2F2
Gtf2h1	GTF2H1
Gtf2h2	GTF2H2
Gtf2h2	GTF2H2C
Gtf2h2	GTF2H2C_2
Gtf2h3	GTF2H3
Gtf2h4	GTF2H4
Gtf2h5	GTF2H5
Gtf2i	GTF2I
Gtf2ird1	GTF2IRD1
Gtf2ird2	GTF2IRD2
Gtf2ird2	GTF2IRD2B
Gtf3a	GTF3A
Gtf3c1	GTF3C1
Gtf3c2	GTF3C2
Gtf3c3	GTF3C3
Gtf3c4	GTF3C4
Gtf3c5	GTF3C5
Gtf3c6	GTF3C6
Gtpbp1	GTPBP1
Gtpbp10	GTPBP10
Gtpbp2	GTPBP2
Gtpbp3	GTPBP3
Gtpbp4	GTPBP4
Gtpbp6	GTPBP6
Gtpbp8	GTPBP8
Gtse1	GTSE1
Gtsf1	GTSF1
Gtsf1l	GTSF1L
Guca1a	GUCA1A
Guca1a	GUCA1ANB-GUCA1A
Guca1b	GUCA1B
Guca2a	GUCA2A
Guca2b	GUCA2B
Gucd1	GUCD1
Gucy1a1	GUCY1A1
Gucy1a2	GUCY1A2
Gucy1b1	GUCY1B1
Gucy1b2	GUCY1B2
Gucy2c	GUCY2C
Gucy2e	GUCY2D
Gucy2f	GUCY2F
Gucy2g	GUCY2GP
Guf1	GUF1
Guk1	GUK1
Gulo	GULOP
Gulp1	GULP1
Gusb	GUSB
Gvin2	GVINP1
Gxylt1	GXYLT1
Gxylt2	GXYLT2
Gyg1	GYG1
Gypa	GYPA
Gypa	GYPB
Gypa	GYPE
Gypc	GYPC
Gys1	GYS1
Gys2	GYS2
Gzf1	GZF1
Gzma	GZMA
Gzmb	GZMB
Gzmc	GZMB
Gzmd	GZMB
Gzmd	GZMH
Gzme	GZMB
Gzme	GZMH
Gzmf	GZMB
Gzmf	GZMH
Gzmg	GZMB
Gzmg	GZMH
Gzmk	GZMK
Gzmm	GZMM
Gzmn	GZMB
Gzmn	GZMH
H13	HM13
H19	H19
H1f0	H1-0
H1f1	H1-1
H1f10	H1-10
H1f2	H1-2
H1f3	H1-3
H1f4	H1-4
H1f5	H1-5
H1f6	H1-6
H1f7	H1-7
H1f8	H1-8
H1f9	H1-9P
H2-Aa	HLA-DQA1
H2-Aa	HLA-DQA2
H2-Ab1	HLA-DQB1
H2-Ab1	HLA-DQB2
H2-D1	HLA-A
H2-D1	HLA-B
H2-D1	HLA-C
H2-D1	HLA-E
H2-D1	HLA-F
H2-D1	HLA-G
H2-D1	HLA-H
H2-DMa	HLA-DMA
H2-DMb1	HLA-DMB
H2-DMb2	HLA-DMB
H2-Ea	HLA-DRA
H2-Eb1	HLA-DRB1
H2-Eb1	HLA-DRB3
H2-Eb1	HLA-DRB4
H2-Eb1	HLA-DRB5
H2-Eb2	HLA-DRB1
H2-Eb2	HLA-DRB3
H2-Eb2	HLA-DRB4
H2-Eb2	HLA-DRB5
H2-K1	HLA-A
H2-K1	HLA-B
H2-K1	HLA-C
H2-K1	HLA-E
H2-K1	HLA-F
H2-K1	HLA-G
H2-K1	HLA-H
H2-M10.1	HLA-B
H2-M10.1	HLA-C
H2-M10.1	HLA-F
H2-M10.1	HLA-H
H2-M10.2	HLA-B
H2-M10.2	HLA-C
H2-M10.2	HLA-F
H2-M10.2	HLA-H
H2-M10.4	HLA-B
H2-M10.4	HLA-C
H2-M10.4	HLA-F
H2-M10.4	HLA-H
H2-M2	HLA-B
H2-M2	HLA-C
H2-M2	HLA-F
H2-M2	HLA-H
H2-M3	HLA-B
H2-M3	HLA-C
H2-M3	HLA-F
H2-M3	HLA-H
H2-Oa	HLA-DOA
H2-Ob	HLA-DOB
H2-Q1	HLA-A
H2-Q1	HLA-B
H2-Q1	HLA-C
H2-Q1	HLA-E
H2-Q1	HLA-F
H2-Q1	HLA-G
H2-Q1	HLA-H
H2-Q10	HLA-A
H2-Q10	HLA-B
H2-Q10	HLA-C
H2-Q10	HLA-E
H2-Q10	HLA-F
H2-Q10	HLA-G
H2-Q10	HLA-H
H2-Q2	HLA-A
H2-Q2	HLA-B
H2-Q2	HLA-C
H2-Q2	HLA-E
H2-Q2	HLA-F
H2-Q2	HLA-G
H2-Q2	HLA-H
H2-Q4	HLA-A
H2-Q4	HLA-B
H2-Q4	HLA-C
H2-Q4	HLA-E
H2-Q4	HLA-F
H2-Q4	HLA-G
H2-Q4	HLA-H
H2-Q6	HLA-A
H2-Q6	HLA-B
H2-Q6	HLA-C
H2-Q6	HLA-E
H2-Q6	HLA-F
H2-Q6	HLA-G
H2-Q6	HLA-H
H2-Q7	HLA-A
H2-Q7	HLA-B
H2-Q7	HLA-C
H2-Q7	HLA-E
H2-Q7	HLA-F
H2-Q7	HLA-G
H2-Q7	HLA-H
H2-Q8	HLA-A
H2-Q8	HLA-B
H2-Q8	HLA-C
H2-Q8	HLA-E
H2-Q8	HLA-F
H2-Q8	HLA-G
H2-Q8	HLA-H
H2-T23	HLA-A
H2-T23	HLA-B
H2-T23	HLA-C
H2-T23	HLA-E
H2-T23	HLA-F
H2-T23	HLA-G
H2-T23	HLA-H
H2ab1	H2AB1
H2ab1	H2AB2
H2ab1	H2AB3
H2ab2	H2AB1
H2ab2	H2AB2
H2ab2	H2AB3
H2ab3	H2AB1
H2ab3	H2AB2
H2ab3	H2AB3
H2ac1	H2AC1
H2ac10	H2AC7
H2ac11	H2AC4
H2ac11	H2AC8
H2ac13	H2AC4
H2ac13	H2AC8
H2ac15	H2AC4
H2ac15	H2AC8
H2ac18	H2AC18
H2ac18	H2AC19
H2ac19	H2AC18
H2ac19	H2AC19
H2ac20	H2AC20
H2ac21	H2AC21
H2ac22	H2AC4
H2ac22	H2AC8
H2ac23	H2AC4
H2ac23	H2AC8
H2ac24	H2AC4
H2ac24	H2AC8
H2ac25	H2AC25
H2ac4	H2AC4
H2ac4	H2AC8
H2ac6	H2AC4
H2ac6	H2AC8
H2ac7	H2AC4
H2ac7	H2AC8
H2ac8	H2AC4
H2ac8	H2AC8
H2aj	H2AJ
H2al1a	H2AL3
H2al1b	H2AL3
H2al1c	H2AL3
H2al1d	H2AL3
H2al1e	H2AL3
H2al1f	H2AL3
H2al1g	H2AL3
H2al1h	H2AL3
H2al1i	H2AL3
H2al1j	H2AL3
H2al1k	H2AL3
H2al1m	H2AL1MP
H2al1m	H2AL3
H2al1n	H2AL3
H2al1o	H2AL3
H2al2a	H2AL3
H2al2b	H2AL3
H2al2c	H2AL3
H2al3	H2AL3
H2ap	H2AP
H2ax	H2AX
H2az1	H2AZ1
H2az2	H2AZ2
H2bc1	H2BC1
H2bc11	H2BC13
H2bc12	H2BC13
H2bc13	H2BC13
H2bc14	H2BC5
H2bc15	H2BC13
H2bc18	H2BC18
H2bc21	H2BC11
H2bc22	H2BC13
H2bc23	H2BC13
H2bc24	H2BC13
H2bc26	H2BC26
H2bc27	H2BC27P
H2bc3	H2BC3
H2bc4	H2BC10
H2bc4	H2BC21
H2bc4	H2BC4
H2bc4	H2BC5
H2bc4	H2BC6
H2bc4	H2BC7
H2bc4	H2BC8
H2bc6	H2BC10
H2bc6	H2BC21
H2bc6	H2BC4
H2bc6	H2BC5
H2bc6	H2BC6
H2bc6	H2BC7
H2bc6	H2BC8
H2bc7	H2BC13
H2bc8	H2BC10
H2bc8	H2BC21
H2bc8	H2BC4
H2bc8	H2BC5
H2bc8	H2BC6
H2bc8	H2BC7
H2bc8	H2BC8
H2bc9	H2BC5
H2bl1	H2BL1P
H2bw2	H2BW1
H3c1	H3C1
H3c1	H3C10
H3c1	H3C11
H3c1	H3C12
H3c1	H3C2
H3c1	H3C3
H3c1	H3C4
H3c1	H3C6
H3c1	H3C7
H3c1	H3C8
H3c10	H3C1
H3c10	H3C10
H3c10	H3C11
H3c10	H3C12
H3c10	H3C2
H3c10	H3C3
H3c10	H3C4
H3c10	H3C6
H3c10	H3C7
H3c10	H3C8
H3c11	H3C1
H3c11	H3C10
H3c11	H3C11
H3c11	H3C12
H3c11	H3C2
H3c11	H3C3
H3c11	H3C4
H3c11	H3C6
H3c11	H3C7
H3c11	H3C8
H3c13	H3C13
H3c13	H3C14
H3c13	H3C15
H3c14	H3C13
H3c14	H3C14
H3c14	H3C15
H3c15	H3C13
H3c15	H3C14
H3c15	H3C15
H3c2	H3C13
H3c2	H3C14
H3c2	H3C15
H3c2	H3C2
H3c3	H3C13
H3c3	H3C14
H3c3	H3C15
